Customer_id,Customer_Name,reg_date
1,Aarush Kapur,2023-06-08
2,Aayush Karan,2020-04-05
3,Emir Badal,2021-04-27
4,Rania Kaur,2022-07-15
5,Tarini Seth,2020-11-21
6,Misha Bhagat,2024-02-15
7,Aarna Sarraf,2024-10-05
8,Riya Dhar,2023-09-19
9,Ritvik Gulati,2025-01-19
10,Elakshi Dutta,2020-09-10
11,Ayesha Karpe,2022-07-08
12,Kismat Grover,2020-08-22
13,Navya Choudhary,2024-11-19
14,Indranil Zachariah,2024-10-06
15,Hunar Deshmukh,2022-04-30
16,Shalv Butala,2023-04-30
17,Prisha Char,2021-11-25
18,Ela Bhandari,2022-12-11
19,Lakshay Ray,2021-11-02
20,Dishani Krishna,2022-11-01
21,Yuvraj  Babu,2021-10-14
22,Prisha Rama,2024-11-04
23,Uthkarsh Sem,2023-03-28
24,Kismat Singhal,2023-03-20
25,Anahi Barman,2023-08-13
26,Lakshay Chaudhary,2024-04-27
27,Adah Bumb,2024-11-15
28,Pari Mahajan,2020-08-06
29,Inaaya  Brahmbhatt,2024-10-06
30,Yuvaan Garg,2020-09-27
31,Aaina Sheth,2022-01-12
32,Bhamini Lall,2020-07-03
33,Miraya Sankaran,2021-03-10
34,Advika Soman,2021-07-26
35,Neelofar Rattan,2023-07-02
36,Tushar Banik,2022-09-23
37,Ira Goda,2022-09-25
38,Ojas Dara,2024-03-03
39,Romil Tara,2020-05-03
40,Sana Sani,2021-09-27
41,Kiaan Varma,2021-06-08
42,Zeeshan Sangha,2021-08-19
43,Indrajit Hayre,2021-02-06
44,Vanya Ghosh,2022-03-31
45,Sahil Das,2020-03-25
46,Neelofar Cherian,2022-02-21
47,Manjari Kala,2024-08-23
48,Mahika Bhasin,2024-06-12
49,Nirvi Varkey,2020-04-25
50,Damini Tella,2023-03-18
51,Prerak Dhawan,2024-07-25
52,Vaibhav Chandran,2023-07-29
53,Arhaan Rout,2024-07-22
54,Ishaan Chahal,2021-02-02
55,Alia Bath,2020-04-06
56,Madhav Wali,2021-11-07
57,Nayantara Dua,2022-12-16
58,Ishaan Bandi,2021-12-30
59,Aayush Barad,2022-10-08
60,Ivan Sodhi,2021-02-05
61,Amani Ramesh,2021-03-15
62,Ishita Tak,2022-01-07
63,Tanya Mander,2024-03-23
64,Nitya Dutta,2024-12-15
65,Dhanush Ramesh,2025-01-05
66,Dharmajan Bal,2024-10-23
67,Krish Date,2021-02-08
68,Farhan Kapadia,2020-05-02
69,Rania Choudhury,2023-03-13
70,Raunak Batra,2021-10-09
71,Aaina Sinha,2022-09-11
72,Nayantara Mandal,2020-07-29
73,Vaibhav Bhavsar,2022-02-12
74,Nirvaan Salvi,2022-08-25
75,Yakshit Gole,2021-09-15
76,Alia Bala,2020-09-17
77,Saira Ram,2023-03-25
78,Saksham Bora,2020-04-29
79,Riya Dara,2022-10-09
80,Renee Mangat,2023-04-26
81,Damini Solanki,2024-03-18
82,Hridaan Yogi,2020-06-29
83,Ranbir Ramaswamy,2020-09-02
84,Ayesha Sankaran,2022-09-25
85,Azad Dubey,2021-01-31
86,Tanya Swamy,2021-03-24
87,Kismat Zacharia,2021-07-15
88,Mishti Bhattacharyya,2024-07-24
89,Anvi Amble,2023-04-30
90,Faiyaz Randhawa,2022-01-29
91,Yuvaan Uppal,2022-06-18
92,Samar Khanna,2020-11-11
93,Saksham Sagar,2024-01-22
94,Shray Comar,2022-08-26
95,Diya Sharma,2022-01-23
96,Raghav Chandra,2022-09-18
97,Ela Jani,2020-08-04
98,Vritika Garde,2022-04-24
99,Oorja Joshi,2020-06-17
100,Jhanvi Dhar,2023-12-25
101,Navya Swamy,2022-01-02
102,Taimur Deep,2023-11-03
103,Arhaan Seshadri,2020-07-12
104,Adira Tata,2020-09-22
105,Ojas Bava,2021-12-27
106,Gatik Kadakia,2022-04-11
107,Aarna Behl,2020-09-02
108,Lakshay Anne,2021-12-29
109,Bhavin Khalsa,2023-09-13
110,Aarna Bahri,2022-11-09
111,Vihaan Shan,2022-12-15
112,Aaryahi Saxena,2022-03-07
113,Bhamini Dewan,2023-06-21
114,Manjari Bumb,2021-12-04
115,Nehmat Choudhry,2022-11-25
116,Azad Srinivasan,2022-06-15
117,Advika Tandon,2024-02-05
118,Saksham Ravel,2022-11-27
119,Anahita Mand,2023-12-29
120,Pihu Dua,2021-05-21
121,Rati Bedi,2024-01-29
122,Rohan Rajan,2023-02-20
123,Himmat Sami,2020-12-15
124,Yasmin Ramachandran,2022-12-01
125,Tarini Sarkar,2020-05-09
126,Aradhya Walla,2022-06-30
127,Myra Kapur,2023-09-09
128,Abram Handa,2023-11-04
129,Navya Jain,2023-05-23
130,Shlok Sawhney,2024-04-27
131,Drishya Bose,2020-07-28
132,Alisha Thaker,2022-11-28
133,Lavanya Dugal,2023-11-21
134,Kashvi Dalal,2024-08-20
135,Jivika Kapoor,2021-09-30
136,Tejas Kulkarni,2021-05-12
137,Fateh Dixit,2025-02-09
138,Jayant Wali,2022-05-07
139,Ivana Gala,2020-09-16
140,Aradhya Bail,2024-10-15
141,Lagan Sharma,2023-04-18
142,Jayan Karan,2021-06-13
143,Samiha Anand,2023-04-06
144,Damini Khare,2021-10-27
145,Prisha Varghese,2023-07-14
146,Farhan Mangat,2025-01-15
147,Prerak Ramachandran,2020-07-11
148,Yasmin Khalsa,2024-06-03
149,Aayush Wadhwa,2022-11-09
150,Tiya Dave,2021-01-27
151,Taimur Agate,2020-07-14
152,Jayesh Bhardwaj,2021-09-28
153,Yuvraj  Suri,2025-01-21
154,Prerak Borde,2023-08-08
155,Ritvik Koshy,2022-04-24
156,Saira Rege,2021-02-20
157,Jayesh Shukla,2024-11-18
158,Alisha Dada,2021-06-27
159,Aarna Arora,2023-08-11
160,Riaan Dixit,2023-07-13
161,Ivana Dixit,2025-02-02
162,Urvi Bhandari,2021-11-18
163,Manjari Sabharwal,2022-06-02
164,Kiaan Anne,2022-01-01
165,Pihu Gour,2021-03-10
166,Hiran Mand,2021-03-10
167,Prisha Devi,2020-10-18
168,Kaira Venkatesh,2024-05-05
169,Aayush Varghese,2021-06-09
170,Mamooty Jani,2024-07-02
171,Farhan Malhotra,2024-07-10
172,Misha Gara,2021-02-15
173,Hrishita Ravel,2021-02-06
174,Oorja Ram,2023-09-22
175,Kavya Trivedi,2022-02-22
176,Zain Thakur,2023-02-26
177,Ivana Aurora,2024-11-08
178,Zain Khurana,2024-04-15
179,Samar De,2021-07-16
180,Zeeshan Vohra,2022-06-14
181,Samaira Chaudhuri,2021-05-11
182,Samar Sarkar,2022-04-26
183,Zeeshan Master,2024-02-06
184,Rati Batra,2020-10-16
185,Advik Sabharwal,2024-10-22
186,Gokul Srinivasan,2023-06-16
187,Myra Sastry,2020-04-15
188,Kartik Thakur,2023-05-22
189,Tara Mane,2022-07-03
190,Lagan Kulkarni,2023-03-18
191,Vivaan Sekhon,2021-05-10
192,Raunak Gour,2021-05-30
193,Divyansh Agate,2020-06-21
194,Misha Shan,2021-12-18
195,Jayant Shere,2022-09-19
196,Romil Krishna,2020-06-24
197,Saanvi Issac,2024-05-11
198,Damini Boase,2023-06-22
199,Sumer Yohannan,2023-01-06
200,Abram Sha,2020-07-30
201,Shlok Varkey,2024-07-15
202,Jayesh Bhagat,2025-01-29
203,Riya Gala,2024-12-19
204,Dhanuk Dora,2024-04-16
205,Misha Khatri,2023-04-02
206,Alia Bath,2024-01-10
207,Tanya Devi,2021-12-15
208,Ahana  Joshi,2024-01-26
209,Dhanush Datta,2020-10-30
210,Ahana  Hari,2023-04-09
211,Sara Shankar,2020-06-29
212,Ehsaan Raval,2020-06-30
213,Lakshay Kala,2021-01-12
214,Tejas Tank,2023-06-25
215,Adah Guha,2024-10-28
216,Aradhya Baral,2023-06-12
217,Manjari Krish,2020-08-25
218,Tarini Vala,2024-11-04
219,Vedika Shanker,2021-03-31
220,Nakul Thaker,2020-11-27
221,Armaan Bumb,2024-01-15
222,Advika Bajaj,2022-02-17
223,Prisha Johal,2022-06-10
224,Zaina Ranganathan,2020-11-21
225,Vihaan Kulkarni,2024-07-03
226,Aarav Chowdhury,2024-07-05
227,Purab Chowdhury,2023-12-14
228,Lavanya Toor,2023-10-25
229,Vidur Madan,2021-04-18
230,Ela Bassi,2021-10-19
231,Ahana  Bahl,2021-09-08
232,Diya Keer,2024-01-08
233,Zeeshan Aurora,2021-09-10
234,Damini Sule,2022-06-07
235,Tara Sagar,2021-07-01
236,Vidur Rajagopal,2023-10-30
237,Alisha Sankaran,2020-04-16
238,Miraan Bhatti,2024-07-24
239,Tanya Devan,2024-04-20
240,Manjari Shah,2024-04-04
241,Pihu Salvi,2025-02-15
242,Neysa Choudhary,2023-05-10
243,Sana Sampath,2025-02-22
244,Adah Tella,2021-06-10
245,Jivika Choudhury,2024-10-29
246,Myra Behl,2025-01-23
247,Farhan Sengupta,2020-06-18
248,Neysa Bail,2023-08-24
249,Jivika Krish,2021-06-23
250,Trisha Acharya,2022-09-22
251,Yuvraj  Trivedi,2020-10-11
252,Nitya Tank,2021-06-23
253,Zara Atwal,2020-05-06
254,Hunar Deep,2024-07-13
255,Arhaan Dube,2020-07-10
256,Sahil Kala,2024-11-15
257,Urvi Mane,2020-11-09
258,Advik Verma,2022-04-26
259,Ehsaan Dayal,2022-02-16
260,Nayantara Sharaf,2022-11-23
261,Sumer Shukla,2022-12-23
262,Romil Uppal,2024-04-19
263,Prisha Atwal,2024-11-11
264,Advika Manne,2022-01-21
265,Anvi Deo,2022-12-29
266,Azad Bora,2021-12-31
267,Oorja Dixit,2020-05-29
268,Vaibhav Atwal,2022-02-15
269,Arhaan Goel,2022-10-26
270,Indranil Chopra,2022-03-06
271,Hansh Wable,2022-08-31
272,Prisha Khurana,2024-08-27
273,Suhana Bir,2020-08-01
274,Kiara Deo,2023-03-22
275,Hridaan Devi,2023-05-06
276,Charvi Bajaj,2023-03-23
277,Aarav Ghosh,2021-04-15
278,Adira Dua,2021-01-15
279,Mehul Kadakia,2020-11-14
280,Aaryahi Kurian,2021-09-23
281,Devansh Venkatesh,2024-08-29
282,Heer Kohli,2024-01-29
283,Nakul Amble,2020-10-18
284,Riya Zacharia,2024-02-07
285,Akarsh Bir,2023-08-03
286,Alisha Virk,2020-07-21
287,Baiju Chahal,2022-03-04
288,Nitya Kaul,2024-09-23
289,Sahil Bajwa,2022-07-18
290,Jivika Acharya,2023-08-16
291,Shlok Agrawal,2020-11-19
292,Mishti Dara,2022-07-19
293,Eshani Vala,2024-11-23
294,Seher Chakrabarti,2024-10-14
295,Lagan Bhardwaj,2022-09-14
296,Emir Uppal,2022-01-15
297,Yasmin Balan,2024-06-25
298,Veer Vasa,2024-06-14
299,Mishti Bhattacharyya,2021-03-07
300,Aayush Magar,2021-08-21
301,Shamik Upadhyay,2022-12-06
302,Lakshay Ghose,2023-04-12
303,Zeeshan Thakkar,2023-03-01
304,Reyansh Barad,2021-07-19
305,Jhanvi Tandon,2023-04-19
306,Vivaan Bhagat,2022-04-24
307,Indrans Chopra,2022-04-16
308,Urvi Sandal,2024-02-17
309,Mahika Vaidya,2022-06-28
310,Yuvraj  Sha,2022-06-17
311,Indranil Mahal,2021-11-13
312,Zeeshan Gandhi,2021-11-14
313,Baiju Bhatt,2023-09-30
314,Badal Roy,2021-06-29
315,Shaan Bath,2024-04-17
316,Ira Dani,2022-04-09
317,Vidur Sankaran,2024-07-05
318,Zoya Vasa,2024-01-04
319,Aarav Ganguly,2020-05-03
320,Zoya Aggarwal,2021-01-26
321,Rania Dash,2024-01-10
322,Neelofar Dhaliwal,2021-02-23
323,Nayantara Sanghvi,2024-09-18
324,Amani Srivastava,2024-05-08
325,Nehmat Barman,2021-07-21
326,Indrajit Dhaliwal,2021-08-16
327,Mishti Dube,2020-09-18
328,Yuvaan Mand,2024-08-24
329,Ishita Upadhyay,2022-01-05
330,Yasmin Kari,2020-10-14
331,Ayesha Chandra,2022-05-25
332,Rasha Krishnamurthy,2022-06-01
333,Shaan Dhillon,2020-08-21
334,Sara Sundaram,2023-07-25
335,Kimaya Vyas,2020-04-01
336,Rania Sani,2024-02-15
337,Pranay Mangat,2021-06-13
338,Samaira Zachariah,2022-02-09
339,Rania Kadakia,2024-08-11
340,Vidur Seth,2020-03-27
341,Dharmajan Dhaliwal,2024-05-18
342,Miraya Sankar,2022-11-06
343,Vidur Bir,2023-05-04
